,PC1,PC2,PC3,vaccine,words,tsne1,tsne2,tsne3,cluster,aa
10937,-0.45412558,0.133373158,0.073669716,No,sought,-3.443894,-6.5861874,-18.730253,0,2
11051,-0.45410138,0.034008535,0.645642384,No,sputnikv,5.908643,-27.286686,-13.464081,2,2
8448,-0.454082405,-0.161230238,0.085460834,No,origin,-17.23341,-15.523365,-15.162202,0,2
6382,-0.453400577,0.358194125,0.092835789,No,issued,13.857144,2.4262836,-25.907011,0,2
5277,-0.453378263,-0.048774822,0.293976202,No,granted,5.8006964,-20.676008,-13.109223,2,2
7723,-0.453042,-0.024447872,0.075110984,No,monetary,-6.3152146,-13.118024,-12.394598,0,2
5329,-0.452981035,-0.055503967,0.132066,No,growth,-6.2736425,-14.04103,-12.284101,0,2
10499,-0.45181628,-0.20305094,0.229320926,No,sell,-4.63326,-16.051304,-19.98911,2,2
2906,-0.451411745,-0.301504363,-0.034005948,No,contain,-3.420552,-26.628849,-13.513716,0,2
181,-0.451104263,-0.179994145,0.266556255,Yes,10/14/2020,-0.19666228,-27.454676,-11.611265,2,2
9305,-0.450838217,-0.175999145,0.248801905,No,producing,-4.5501504,-15.868166,-18.866117,2,2
10462,-0.45069498,0.21545382,0.294791491,No,secretarygeneral,11.504572,-13.771822,-18.035698,2,2
1318,-0.450506562,0.112431403,0.129202517,No,asks,-2.4896033,-5.514489,-19.889961,0,2
10009,-0.450186627,0.290951318,0.169318162,No,restricted,1.2928308,-21.542503,-16.148077,2,2
6282,-0.449711421,0.453820504,0.246789879,No,international,12.807635,-11.991786,-17.608316,2,2
2965,-0.449590137,0.133364604,-0.003543575,No,cooperation,-1.7355449,-8.193791,-19.271814,0,2
1087,-0.449573057,-0.060270011,-0.002332037,No,angie_rasmussen,-4.963523,-3.7118042,-29.88408,0,2
4349,-0.44903191,0.042620759,0.108276315,No,exclusive,-1.8728364,-14.682307,-14.37511,0,2
1522,-0.448738836,-0.193261032,0.12120263,No,ban,-7.0132656,-15.473575,-18.719843,0,2
4282,-0.448112705,-0.209267226,0.440453246,No,europe,16.126476,-22.72409,-0.09176897,2,2
217,-0.448015591,-0.390525649,0.114578896,Yes,2/9/2020,-0.8620189,-29.964405,-10.0875635,0,2
10754,-0.447957469,0.039980699,0.61050303,No,sinovac,5.641651,-25.254042,-13.512593,2,2
9300,-0.446878201,-0.197376427,0.542648426,No,produce,4.7694244,-18.74602,-20.612293,2,2
8066,-0.446792485,-0.073669854,0.037791139,No,nfld,-15.51956,-17.013826,-13.158563,0,2
6884,-0.446009591,-0.084810725,-0.170714341,No,legal,-25.17574,-4.504293,-9.546107,0,2
11380,-0.44562074,0.240856217,0.386821824,No,supplies,3.6412883,-16.360071,-21.995745,2,2
10286,-0.445139248,-0.14769875,0.396352704,No,sanofi,5.239101,-19.994232,-20.836683,2,2
6307,-0.444470702,-0.303314071,0.312116124,No,inves,-7.1512265,-20.471638,-6.110166,2,2
2769,-0.44440749,0.050692972,0.178467235,No,compensation,-1.3049479,-16.135958,-18.621628,2,2
10038,-0.444063949,-0.050404969,0.151031391,No,reveals,-2.6023996,-16.159534,-12.991428,0,2
6651,-0.443896282,0.080586412,0.078198908,No,kff,-12.432031,7.0486946,-22.098824,0,2
1232,-0.443048274,-0.172330321,0.541023504,No,approve,6.437528,-23.867233,-14.436854,2,2
7268,-0.442440862,-0.050974114,0.426579526,No,manufacture,5.0077853,-19.428974,-19.950434,2,2
1430,-0.44236909,0.153427739,0.307919703,No,authorisation,3.9537601,-22.05231,-13.9142685,2,2
11529,-0.442112666,0.384987475,0.148784184,No,talks,13.486962,3.6692731,-24.18984,2,2
1952,-0.441383543,0.093156835,0.301416863,No,brazilian,9.215917,-19.8133,-15.984559,2,2
2013,-0.441252162,-0.015250776,0.062505058,No,british,-6.3694916,-20.161833,-18.962229,0,2
3403,-0.441197358,-0.097360456,0.116041143,No,demand,-1.3545327,-13.004481,-25.724516,0,2
734,-0.440639219,0.368169943,0.44008533,No,adar,12.1413555,-18.20118,-15.532758,2,2
176,-0.440115598,-0.048332881,0.375998093,Yes,10/1/2020,4.1368523,-17.151396,-16.345675,2,2
1951,-0.439237947,0.234830728,0.614061076,No,brazil,13.4072895,-17.099928,-15.377549,2,2
10302,-0.439181549,-0.087629036,-0.109879337,No,satan,-16.34714,-15.451599,-16.262936,0,2
6446,-0.438543059,0.04029233,0.65046704,No,japan,7.647629,-16.861969,-19.010208,2,2
3364,-0.438443772,0.142015132,0.004962383,No,defense,13.242821,-2.4475112,-25.272335,0,2
251,-0.437835515,-0.248285321,0.268193532,Yes,9/21/2020,0.71072996,-27.682592,-10.095191,2,2
4427,-0.437281039,-0.144377538,0.065291329,No,exports,-6.357329,-15.876168,-16.469046,0,2
865,-0.437270651,-0.293805094,0.060582486,No,agenda21,-16.718315,-16.532478,-11.413065,0,2
258,-0.437193362,-0.181121406,0.077874342,Yes,9/30/2020,-1.9426297,-26.867699,-10.666565,0,2
5016,-0.437031977,0.198689464,0.211330945,No,gavi,10.089227,-14.074262,-15.220947,2,2
11954,-0.436556709,-0.185798343,0.1132793,No,trade,-7.0087204,-15.490002,-18.658493,0,2
1497,-0.43649386,-0.056635344,0.090625596,No,backed,-1.9595737,-22.101421,-9.562839,0,2
877,-0.436285872,0.038752603,0.689649893,No,agreement,5.7021103,-19.114218,-19.110306,2,2
840,-0.435526331,-0.084146495,0.571659639,No,africa,13.712048,-25.869373,-1.4955381,2,2
2552,-0.435458988,0.115359581,0.101546296,No,clears,2.040494,-13.688301,-16.10411,0,2
8666,-0.435227888,-0.162050823,-0.15007747,No,patents,-7.463866,-9.664756,-19.599777,0,2
186,-0.43497154,-0.053416253,0.15837828,Yes,10/19/2020,-0.2804222,-19.557165,-15.97314,2,2
12660,-0.434881859,-0.084416778,-0.004843917,No,warned,-5.0837135,-12.559094,-25.461037,0,2
6180,-0.434854517,0.007297449,0.474784554,No,inks,5.024072,-19.007479,-19.416155,2,2
9042,-0.434716199,0.193935243,0.609021517,No,populous,13.085242,-16.759523,-15.219342,2,2
7677,-0.433934537,0.052611707,-0.117288323,No,model,-6.258182,-7.538722,-23.50911,0,2
2730,-0.433899698,0.461958912,0.115577922,No,committee,13.775573,3.3212302,-25.520641,2,2
2759,-0.433837953,0.086028922,0.16144908,No,companys,2.765293,-22.815884,-11.563686,2,2
5275,-0.433517342,0.249156489,0.416494282,No,grant,12.876569,-15.213528,-15.097136,2,2
3869,-0.433134541,0.125779879,-0.010221361,No,drones,-2.266114,-7.7119384,-18.375195,0,2
6036,-0.433091051,0.057139959,0.386517259,No,inc,3.974844,-23.630447,-11.541899,2,2
10240,-0.432751382,0.072623405,0.138276975,No,safet,-0.48373324,-23.930288,-17.685644,0,2
9453,-0.432719301,0.033704613,0.359611021,No,published,-0.13418151,-29.844046,-2.4260004,2,2
10889,-0.432043189,0.109475229,-0.026181601,No,software,0.7548039,-2.5798545,-23.022486,0,2
7232,-0.431896455,0.247740423,0.133981796,No,mamata,9.614403,-11.675182,-17.062399,2,2
4287,-0.431875386,-0.27393889,0.117790719,No,eus,-8.034512,-17.944223,-16.647404,0,2
902,-0.431811261,0.188436956,0.214191413,No,airlines,3.8996506,-13.507073,-21.150446,2,2
4643,-0.43180534,-0.103647596,0.309360808,No,fights,-8.049198,-27.181269,0.49095586,2,2
6478,-0.431764322,0.075628515,-0.159277379,No,jerusalem,-11.347977,3.9945657,-25.53325,0,2
1814,-0.431669524,-0.190165136,-0.034718772,No,blockchain,-3.9432333,-23.05367,-12.686623,0,2
246,-0.431649939,-0.436873946,0.276525954,Yes,9/16/2020,-1.1853623,-29.354748,-12.771807,2,2
220,-0.431242865,-0.49667061,0.159671914,Yes,5/9/2020,-1.2791437,-28.901634,-12.225968,4,2
2827,-0.431179416,-0.021010569,0.191899046,No,conditional,6.10155,-20.141369,-12.583282,2,2
11643,-0.430127078,-0.054426432,0.089932351,No,terms,-5.2251616,-8.662626,-22.536646,0,2
6316,-0.429167652,-0.158386585,0.105926562,No,investing,-6.191296,-21.485693,-6.9283047,0,2
191,-0.429120292,-0.164112838,0.442308698,Yes,10/9/2020,1.1528614,-27.700716,-12.159641,2,2
8142,-0.428822691,-0.147435355,-0.146055097,No,non,-21.341255,-7.794594,-16.626308,0,2
10204,-0.428781539,0.301137162,0.254135362,No,runs,-3.343159,-5.863815,-26.508911,2,2
680,-0.428595578,0.068276761,-0.168924331,No,accusing,-4.4120436,-3.2515059,-22.699478,0,2
